YEAR,NINO4_ave,NINO34_ave,PDO_Annual_Avg,Storm_Count,Uncertainty
2024,0.477099864,0.425642962,0.76232176,18,8.5
2025,-0.004624764,-0.250010584,0.259050996,16,8
2026,0.023430983,-0.25414126,-0.074801275,22,9.5
2027,0.115555051,0.011201618,0.272087294,12,6.5
2028,0.074028425,-0.008976692,0.671720791,20,8.5
2029,0.043676819,-0.1427311,-0.193097572,24,9.5
2030,0.00056287,-0.12284817,-0.091131822,13,7.5
2031,-0.014173376,-0.127969573,0.793927799,13,7.5
2032,0.020634834,-0.043021848,0.278967624,18,8.5
2033,0.004294532,-0.043513962,-0.27178587,16,8
2034,0.050145545,-0.083130767,0.233002829,13,7.5
2035,0.036753755,-0.00789779,0.19014804,15,7.5
2036,0.053306131,-0.068004305,-0.31149403,14,7.5
2037,0.011426502,0.022474288,-0.904627015,22,9.5
2038,0.003704819,-0.078680452,0.281869686,25,10
2039,0.01327082,-0.090348613,0.783141823,13,7.5
2040,0.042798986,-0.114546801,-0.636741876,23,9.5
2041,0.051691617,-0.035958972,-0.338943733,15,7.5
2042,0.119432119,0.080381202,0.170700322,19,8.5
2043,0.043961125,0.033213231,0.025376684,21,9.5
2044,0.107550686,-0.024791119,-0.366441756,17,8.5
2045,0.011432079,-0.044441104,0.761433143,16,8
2046,0.120933643,-0.08906266,0.37959379,17,8.5
2047,0.082295557,-0.032175069,0.415278659,17,8.5
2048,0.007188061,-0.088078445,-0.390497633,19,8.5
2049,0.095347798,0.075669848,0.530695071,18,8.5
2050,0.02656203,-0.10630057,0.1704361,16,8
2051,0.043568335,0.027151196,-0.194550168,16,8
2052,0.004695504,0.015895217,-0.343763317,15,7.5
2053,0.054634876,-0.032555959,-0.12379096,13,7.5
2054,0.012398477,-0.055722724,-0.965587743,16,8
2055,0.033160634,-0.078218514,-0.237368713,25,10
2056,0.05165829,-0.15067849,0.48464596,16,8
2057,-0.050184338,0.015549049,0.143257727,13,7.5
2058,-0.004265735,-0.034164502,0.272131407,13,7.5
2059,0.05809074,-0.076745652,-0.261771392,15,7.5
2060,0.037509055,-0.121125437,0.441040034,17,8.5
2061,0.018290969,0.026513766,-0.004013507,13,7.5
2062,0.036022713,-0.007466721,0.195410086,20,8.5
2063,0.066910016,-0.06983575,-0.303441255,18,8.5
2064,0.013861344,-0.036506723,-0.007150587,25,10
2065,-0.034728927,-0.073916933,0.491209306,16,8
2066,-0.002040325,-0.066761488,-0.24781471,17,8.5
2067,0.012561674,-0.026029589,0.145970323,21,9.5
2068,-0.04404921,-0.008552747,0.320404239,14,7.5
2069,0.069128898,-0.143052923,0.062626079,20,8.5
2070,0.127580028,-0.087025576,0.035648209,20,8.5
2071,0.002337455,-0.101531148,-0.387649871,12,6.5
2072,0.113505121,-0.101001585,0.424053733,18,8.5
2073,0.021374644,-0.024180152,0.252643951,12,6.5
2074,0.112326033,0.001323664,-0.389984831,18,8.5
2075,0.039038156,-0.071938459,-0.197602406,23,9.5
2076,0.030337645,-0.129031937,0.543397515,19,8.5
2077,0.045343586,-0.044937991,0.238421395,23,9.5
2078,0.107318066,-0.155085672,-0.121345552,28,10.5
2079,0.05675026,-0.059892879,-0.117737088,20,8.5
2080,0.048395764,-0.131981599,-0.207625884,21,9.5
2081,0.0159426,-0.05743585,-0.280434314,18,8.5
2082,0.026089345,-0.065840834,-0.109150074,15,7.5
2083,0.098695748,-0.094299085,-0.315729778,27,10.5
2084,0.073973025,-0.067475828,0.297490741,15,7.5
2085,-0.059220519,-0.037918168,0.798146565,15,7.5
2086,0.06198715,0.007756692,0.05054497,19,8.5
2087,-0.005735645,-0.059881426,0.227167778,23,9.5
2088,0.012588777,-0.120916488,0.3654619,18,8.5
2089,0.038226049,-0.068558373,-0.396100301,19,8.5
2090,0.095075663,-0.028967022,0.202817627,24,9.5
2091,0.09214812,-0.104482047,-0.364484879,11,6.5
2092,0.046031707,-0.02777947,0.422679626,12,6.5
2093,0.015121182,0.016596857,-0.127630759,20,8.5
2094,0.057630207,-0.030736429,0.160523176,17,8.5
2095,-0.064436183,-0.075802216,0.03644208,12,6.5
2096,0.066451262,-0.120535705,0.049703811,16,8
2097,-0.087586197,-0.028084427,0.012304695,14,7.5
2098,0.067114362,-0.055390633,-0.606957108,28,10.5
2099,0.029700862,0.015198117,-0.293181733,20,8.5
2100,0.050022253,-0.032718667,0.365960854,12,6.5
2101,-0.068377948,-0.148442497,0.202114028,14,7.5
2102,0.048298391,-0.086995106,-0.144517854,18,8.5
2103,0.037864946,-0.160648059,0.185114582,18,8.5
2104,0.079615143,-0.101914242,0.126517474,22,9.5
2105,0.099186001,0.012822532,-0.488230679,18,8.5
2106,0.085412588,0.146928956,-0.526938174,21,9.5
2107,0.069239182,-0.008009361,-0.115107891,15,7.5
2108,0.008493312,0.001024954,-0.246093091,26,10.5
2109,0.052112374,-0.068082645,-0.526242471,29,10.5
2110,0.00038668,-0.127022043,0.053628869,21,9.5
2111,0.086463211,-0.105531544,0.20333434,7,5.5
2112,-0.000648473,-0.047597129,-0.404885897,23,9.5
2113,-0.01075169,-0.012875151,0.523122202,13,7.5
2114,0.121960336,-0.068129312,0.084031339,15,7.5
2115,0.053247637,-0.028581468,-0.170599059,16,8
2116,-0.008303427,-0.065954807,-0.494621808,31,11.5
2117,-0.008498338,-0.055243857,-0.383135613,13,7.5
2118,0.010601963,-0.034846454,-0.142459323,19,8.5
2119,-0.026142919,-0.162165996,0.196579058,19,8.5
2120,0.089521417,-0.113751265,0.273056919,25,10
2121,0.004386174,-0.024996993,0.619537927,15,7.5
2122,-0.001302207,-0.089694586,-0.193997619,23,9.5
2123,0.049764347,-0.037917948,0.122157935,18,8.5
2124,-0.045153924,-0.026810105,-0.253424591,21,9.5
