Year,Storm_Count,Storm_Count_Median,Storm_Count_Lower_50,Storm_Count_Upper_50,Storm_Count_Lower_90,Storm_Count_Upper_90,Uncertainty_StdDev,Uncertainty_Range,NINO4_ave,NINO34_ave,PDO Ensemble SST_Annual_Avg
2024,18,18,17,19,16,21,1.42,2,-0.201026503,-0.215841702,-0.857922847
2025,18,18,15,20,11,23,3.81,5,-0.021474319,0.180678366,-0.362934663
2026,18,19,17,21,13,23,3.51,4,-0.021472331,-0.123230669,-0.124717079
2027,18,19,16,21,11,23,3.98,5,-0.156752926,-0.103606151,-0.207943825
2028,19,20,17,21,13,25,3.88,4,-0.121569098,-0.067293642,-0.200863839
2029,19,20,17,22,11,25,4.09,5,-0.107332612,-0.071413723,-0.175835179
2030,19,19,17,22,12,25,3.98,5,-0.216381186,-0.243807964,-0.320752504
2031,19,20,17,22,11,25,4.77,5,-0.078132168,0.110481655,-0.19319624
2032,19,19,17,21,14,26,4.07,4,-0.15481974,-0.285793406,-0.23919376
2033,19,20,17,22,11,26,4.61,5,-0.080556717,0.141809897,-0.156354428
2034,20,20,18,22,13,25,4.13,4,-0.037944657,-0.121628676,-0.053583936
2035,19,20,18,22,12,26,4.1,4,-0.156552642,-0.105164718,-0.174856768
2036,19,20,18,22,12,25,4.4,4,-0.146964259,-0.107089723,-0.221935148
2037,20,20,18,22,13,24,3.95,4,-0.150539792,-0.110992527,-0.248839169
2038,20,20,18,22,14,25,3.68,4,-0.175994809,-0.149191829,-0.2982573
2039,20,19,18,22,13,26,3.7,4,-0.173878185,-0.116805035,-0.319245415
2040,19,20,17,22,11,26,4.77,5,-0.092870933,-0.011240496,-0.212285511
2041,20,20,18,23,13,26,4.4,5,-0.073720597,-0.059950225,-0.13178298
2042,19,20,18,22,9,26,4.89,4,0.014152037,0.120906542,0.033241284
2043,20,19,18,22,14,26,3.82,4,-0.019960024,-0.072590479,0.064455337
2044,20,20,17,22,13,25,3.85,5,-0.186253633,-0.190891603,-0.161691396
2045,19,20,18,21,13,24,3.46,3,-0.092820037,0.046430757,-0.138748166
2046,19,20,18,22,13,25,3.86,4,-0.162189182,-0.248062168,-0.224778376
2047,19,20,17,22,12,26,3.89,5,-0.078299112,0.115607569,-0.146591329
2048,20,21,18,22,14,26,3.75,4,-0.130330307,-0.250254875,-0.182055414
2049,19,20,18,22,9,26,4.55,4,0.01103549,0.262855324,0.003254385
2050,20,20,18,23,14,26,3.44,5,-0.081726661,-0.283732993,-0.038717453
2051,20,20,17,22,13,26,3.9,5,-0.038995018,0.210117631,2.79E-05
2052,20,20,18,23,13,26,4.32,5,-0.050285915,-0.193515539,0.003377405
2053,20,20,18,22,11,26,4.48,4,-0.091644197,0.055559385,-0.055031743
2054,20,20,17,22,14,25,4.04,5,-0.151045939,-0.237169748,-0.169422925
2055,19,20,17,21,11,24,3.84,4,-0.117389768,0.044345609,-0.176583682
2056,19,20,17,22,13,24,3.6,5,-0.285465791,-0.446512448,-0.420994754
2057,19,19,17,21,9,24,4.66,4,-0.140279515,0.166310823,-0.332102066
2058,19,20,17,22,13,25,3.73,5,-0.158361812,-0.337631826,-0.311545827
2059,19,20,17,22,13,26,4.41,5,-0.172217477,0.034224476,-0.322485551
2060,19,20,17,22,13,25,3.93,6,-0.086184705,-0.118734083,-0.204113835
2061,19,19,17,22,12,25,4.39,5,-0.069854485,0.03078985,-0.122153014
2062,20,20,17,22,13,25,3.73,5,-0.145249468,-0.207565468,-0.191806952
2063,19,20,17,22,10,25,4.43,5,-0.072021384,0.094657223,-0.121508619
2064,19,20,18,21,13,24,3.34,3,-0.05263241,-0.108079169,-0.058118412
2065,19,20,17,21,10,24,3.95,4,-0.078925391,0.009062548,-0.065621827
2066,19,19,16,21,12,25,3.66,5,-0.086030221,-0.095216506,-0.080270721
2067,19,20,16,21,12,24,4.23,5,-0.056485477,0.033962801,-0.044807766
2068,18,18,16,21,11,25,4.55,5,-0.001010184,0.023470769,0.052764091
2069,19,19,17,22,12,26,4.25,5,-0.109025712,-0.140692179,-0.055246511
2070,20,20,18,23,12,26,4.39,5,-0.171881358,-0.117692408,-0.20013703
2071,20,20,18,23,14,26,4.53,5,-0.124695581,-0.06188087,-0.202221494
2072,20,21,17,23,12,28,4.89,6,-0.113772521,-0.086178003,-0.185857759
2073,20,21,18,23,12,27,4.48,5,-0.107947771,-0.057311664,-0.16942003
2074,20,20,17,23,13,26,4.35,6,-0.146651658,-0.142236873,-0.21728576
2075,19,20,17,22,12,27,4.23,5,-0.133460111,-0.055844959,-0.222036677
2076,19,20,17,22,10,26,4.47,5,-0.135804389,-0.126833454,-0.227195005
2077,19,19,16,21,13,24,4,5,0.040159001,0.212972842,0.023867268
2078,20,20,18,22,14,24,3.4,4,-0.114533022,-0.296531002,-0.075336371
2079,19,20,17,22,12,24,4.04,5,-0.028670956,0.235577238,-0.003380743
2080,20,20,17,22,14,25,3.88,5,-0.05165833,-0.21529194,0.000151649
2081,19,20,17,22,12,25,3.87,5,-0.015474047,0.195623377,0.05316911
2082,20,20,18,22,13,25,3.75,4,-0.121921495,-0.296987015,-0.074130056
2083,20,20,18,23,13,26,4.15,5,-0.218153204,-0.070449309,-0.276107054
2084,20,20,18,23,13,26,4.01,5,-0.137514831,-0.121373626,-0.25788976
2085,20,20,17,22,12,26,4.52,5,-0.096223907,-0.011693418,-0.187110758
2086,19,20,18,23,9,25,4.93,5,-0.023613232,0.021224086,-0.047887208
2087,19,20,18,22,10,25,4.34,4,-0.060672414,-0.061678134,-0.033536913
2088,19,20,17,22,11,26,4.75,5,-0.049454117,0.020003258,-0.01189963
2089,19,19,17,21,12,25,3.98,4,-0.025712899,-0.00522846,0.032838497
2090,19,20,18,22,12,26,4.26,4,-0.146254565,-0.179283166,-0.11907504
2091,19,19,16,22,10,25,4.52,6,0.00432253,0.19578611,0.022574963
2092,20,19,17,22,13,26,4.16,5,-0.088743491,-0.242763341,-0.039996149
2093,19,20,17,22,10,26,4.93,5,0.017705472,0.269341681,0.080894788
2094,19,19,18,22,12,24,3.66,4,0.019310181,-0.125340485,0.143510553
2095,19,20,16,22,11,25,4.72,6,-0.042863466,0.083583766,0.08333692
2096,19,20,17,22,12,25,4.19,5,-0.112958442,-0.195746756,-0.047996879
2097,19,19,17,22,10,25,4.77,5,-0.037004026,0.14319315,-0.002514465
2098,19,19,17,21,13,24,3.39,4,-0.100059631,-0.221400629,-0.069470499
2099,18,20,16,21,8,24,5.09,5,-0.000898122,0.222116187,0.039881443
2100,19,19,17,21,13,24,3.31,4,-0.016311088,-0.146583849,0.072316536
2101,19,19,17,22,10,24,4.06,5,-0.140209366,-0.058382855,-0.091531962
2102,19,19,17,22,12,25,3.88,5,-0.13497557,-0.123762405,-0.16503036
2103,19,20,17,23,11,25,4.56,6,-0.174376832,-0.135978466,-0.256096031
2104,19,19,16,22,11,25,4.43,6,0.002337322,0.157572333,-0.04549516
2105,19,20,17,23,12,26,4.69,6,-0.12506933,-0.271574948,-0.124329601
2106,19,19,16,22,11,25,4.44,6,-0.029811485,0.21377645,-0.028356847
2107,19,20,17,22,11,25,4.76,5,-0.03672324,-0.174123397,0.009921814
2108,18,19,16,21,11,26,4.66,5,-0.081188446,0.057769163,-0.036435942
2109,19,19,16,22,10,23,4.19,6,-0.023806326,-0.03295198,0.023002784
2110,18,19,16,21,10,23,4.22,5,-0.032729524,0.02591188,0.039965266
2111,18,19,16,21,13,23,3.73,5,-0.132819664,-0.182250362,-0.096611591
2112,18,18,16,21,12,24,4.09,5,-0.174399794,-0.090097946,-0.223971406
2113,19,19,17,21,12,25,4.01,4,-0.243973807,-0.27629215,-0.385362199
2114,19,19,17,21,10,24,4.34,4,-0.075924293,0.13845574,-0.221249392
2115,19,20,17,22,12,25,4.37,5,-0.103731575,-0.22510064,-0.178656851
2116,19,20,16,22,11,24,4.15,6,-0.100197843,0.064460412,-0.154534931
2117,19,20,18,22,9,26,4.67,4,-0.014494974,-0.02387674,-0.019606552
2118,19,19,17,22,12,25,4.12,5,-0.099774582,-0.089155181,-0.076311127
2119,19,20,17,22,12,25,4.58,5,-0.014959974,0.095772985,0.016420315
2120,19,19,17,21,12,24,3.82,4,-0.015429835,-0.046683079,0.06210727
2121,19,19,18,21,12,24,4.2,3,-0.049435376,0.010003489,0.034514426
2122,19,20,17,21,12,24,3.73,4,-0.13542727,-0.17463141,-0.103492167
2123,18,19,16,20,12,24,4.04,4,0.045671632,0.259350777,0.089833358
2124,19,20,18,22,14,24,3.35,4,-0.170243904,-0.422665784,-0.124493521
