YEAR,NINO4_ave,NINO34_ave,PDO_Annual_Avg,Storm_Count,Storm_Count_Lower,Storm_Count_Upper,Uncertainty_pm
2026,0.11644507,0.078948603,0.258276647,16,8,24,8
2027,0.088599003,-0.179972692,-0.074585729,22,12,31,9.5
2028,0.138951681,-0.079423445,0.271077585,13,5,20,7.5
2029,0.11043314,-0.054466852,0.669346475,19,10,27,8.5
2030,0.088851963,-0.121084663,-0.192732541,25,15,35,10
2031,0.042843508,-0.099998228,-0.090766816,15,7,22,7.5
2032,0.026088316,-0.12741004,0.791465898,16,8,24,8
2033,0.061484013,-0.048183148,0.277771238,17,8,25,8.5
2034,0.045627332,-0.042584031,-0.271053987,17,8,25,8.5
2035,0.091374714,-0.078876635,0.232157009,16,8,24,8
2036,0.078052387,-0.004885541,0.189719746,15,7,22,7.5
2037,0.094709788,-0.066383329,-0.31058034,15,7,22,7.5
2038,0.052820662,0.02418905,-0.901657766,22,12,31,9.5
2039,0.045103764,-0.076484785,0.281076089,26,15,36,10.5
2040,0.054676184,-0.088075687,0.780890047,13,5,20,7.5
2041,0.084199475,-0.112414735,-0.634501945,24,14,33,9.5
2042,0.09308906,-0.033883524,-0.337835383,16,8,24,8
2043,0.160830937,0.082490278,0.169967202,20,11,28,8.5
2044,0.085361013,0.035348188,0.025375089,22,12,31,9.5
2045,0.148950314,-0.022661486,-0.365423904,18,9,26,8.5
2046,0.052969132,-0.042323577,0.759422945,17,8,25,8.5
2047,0.162539165,-0.086946124,0.37847803,18,9,26,8.5
2048,0.123876312,-0.030054765,0.414003661,18,9,26,8.5
2049,0.048767345,-0.085957027,-0.389388528,20,11,28,8.5
2050,0.136934243,0.077790265,0.529128737,13,5,20,7.5
2051,0.068147,-0.104180726,0.17003699,21,11,30,9.5
2052,0.085151003,0.029271248,-0.193935751,14,6,21,7.5
2053,0.046278618,0.018015499,-0.342674988,15,7,22,7.5
2054,0.096218674,-0.030435698,-0.123634277,15,7,22,7.5
2055,0.053982205,-0.053602541,-0.962890472,21,11,30,9.5
2056,0.074846202,-0.076084247,-0.23677033,26,15,36,10.5
2057,0.093394888,-0.148540708,0.483231736,17,8,25,8.5
2058,-0.008465138,0.01768296,0.142717848,14,6,21,7.5
2059,0.037449799,-0.032032504,0.271501534,22,12,31,9.5
2060,0.099810668,-0.074612777,-0.261176259,12,5,18,6.5
2061,0.079228746,-0.118991767,0.439785719,17,8,25,8.5
2062,0.06000936,0.028647309,-0.003896372,16,8,24,8
2063,0.077741239,-0.005333462,0.195033552,13,5,20,7.5
2064,0.108628915,-0.067702505,-0.302557126,21,11,30,9.5
2065,0.055580225,-0.034373389,-0.007268716,25,15,35,10
2066,0.007060481,-0.071786249,0.490123409,17,8,25,8.5
2067,0.039784521,-0.064631417,-0.247054703,18,9,26,8.5
2068,0.054374773,-0.023898863,0.145614801,22,12,31,9.5
2069,-0.002239478,-0.006421679,0.319708777,15,7,22,7.5
2070,0.110941382,-0.140921972,0.062533291,20,11,28,8.5
2071,0.169392622,-0.084894756,0.035583607,20,11,28,8.5
2072,0.044149278,-0.099400324,-0.386751146,12,5,18,6.5
2073,0.155316976,-0.09887072,0.423045773,19,10,27,8.5
2074,0.063186714,-0.022049279,0.251725297,13,5,20,7.5
2075,0.154138101,0.003454527,-0.389011179,18,9,26,8.5
2076,0.080900423,-0.069826829,-0.197013371,24,14,33,9.5
2077,0.072225201,-0.126924683,0.542266972,20,11,28,8.5
2078,0.087222972,-0.042825772,0.237806208,23,13,32,9.5
2079,0.14919451,-0.152970969,-0.121236232,29,18,39,10.5
2080,0.098628473,-0.057779154,-0.117665289,21,11,30,9.5
2081,0.090274238,-0.129868864,-0.207039045,22,12,31,9.5
