lon,lat,probability
100.5,4.5,0.002
100.5,5.5,0.002
100.5,6.5,0.0075
100.5,7.5,0.01
100.5,8.5,0.0115
100.5,9.5,0.024
100.5,10.5,0.027
100.5,11.5,0.036
100.5,12.5,0.0415
100.5,13.5,0.0355
100.5,14.5,0.0365
100.5,15.5,0.03
100.5,16.5,0.0185
100.5,17.5,0.019
100.5,18.5,0.009
100.5,19.5,0.008
100.5,20.5,0.003
100.5,21.5,0.0015
100.5,22.5,0.001
101.5,4.5,0.002
101.5,5.5,0.003
101.5,6.5,0.0075
101.5,7.5,0.0165
101.5,8.5,0.015
101.5,9.5,0.0315
101.5,10.5,0.034
101.5,11.5,0.041
101.5,12.5,0.054
101.5,13.5,0.048
101.5,14.5,0.0475
101.5,15.5,0.0405
101.5,16.5,0.0255
101.5,17.5,0.02
101.5,18.5,0.014
101.5,19.5,0.0095
101.5,20.5,0.006
101.5,21.5,0.003
101.5,22.5,0.0015
101.5,23.5,0.0015
101.5,24.5,0.0005
101.5,25.5,0.0005
102.5,4.5,0.0025
102.5,5.5,0.0045
102.5,6.5,0.0085
102.5,7.5,0.0135
102.5,8.5,0.0175
102.5,9.5,0.0355
102.5,10.5,0.032
102.5,11.5,0.046
102.5,12.5,0.055
102.5,13.5,0.053
102.5,14.5,0.0505
102.5,15.5,0.045
102.5,16.5,0.0305
102.5,17.5,0.017
102.5,18.5,0.0155
102.5,19.5,0.0095
102.5,20.5,0.0075
102.5,21.5,0.0045
102.5,22.5,0.0025
102.5,23.5,0.002
103.5,3.5,0.0005
103.5,4.5,0.002
103.5,5.5,0.0035
103.5,6.5,0.0075
103.5,7.5,0.014
103.5,8.5,0.02
103.5,9.5,0.0345
103.5,10.5,0.0375
103.5,11.5,0.045
103.5,12.5,0.054
103.5,13.5,0.0555
103.5,14.5,0.056
103.5,15.5,0.0505
103.5,16.5,0.034
103.5,17.5,0.0235
103.5,18.5,0.019
103.5,19.5,0.0105
103.5,20.5,0.0085
103.5,21.5,0.003
103.5,22.5,0.0015
103.5,23.5,0.0005
103.5,24.5,0.0005
103.5,25.5,0.0005
104.5,2.5,0.0005
104.5,3.5,0.0005
104.5,4.5,0.0025
104.5,5.5,0.004
104.5,6.5,0.005
104.5,7.5,0.0115
104.5,8.5,0.0215
104.5,9.5,0.032
104.5,10.5,0.041
104.5,11.5,0.0495
104.5,12.5,0.0525
104.5,13.5,0.057
104.5,14.5,0.055
104.5,15.5,0.0505
104.5,16.5,0.0355
104.5,17.5,0.0295
104.5,18.5,0.019
104.5,19.5,0.0135
104.5,20.5,0.0095
104.5,21.5,0.005
104.5,22.5,0.0025
104.5,23.5,0.001
104.5,24.5,0.001
104.5,25.5,0.001
104.5,26.5,0.0005
105.5,2.5,0.0005
105.5,4.5,0.002
105.5,5.5,0.0045
105.5,6.5,0.007
105.5,7.5,0.0135
105.5,8.5,0.0255
105.5,9.5,0.0315
105.5,10.5,0.043
105.5,11.5,0.0485
105.5,12.5,0.057
105.5,13.5,0.066
105.5,14.5,0.061
105.5,15.5,0.0535
105.5,16.5,0.0455
105.5,17.5,0.032
105.5,18.5,0.0185
105.5,19.5,0.0145
105.5,20.5,0.01
105.5,21.5,0.0055
105.5,22.5,0.004
105.5,23.5,0.004
105.5,24.5,0.003
105.5,25.5,0.0015
105.5,26.5,0.001
105.5,27.5,0.001
106.5,2.5,0.0005
106.5,4.5,0.0015
106.5,5.5,0.0035
106.5,6.5,0.0085
106.5,7.5,0.013
106.5,8.5,0.0205
106.5,9.5,0.031
106.5,10.5,0.047
106.5,11.5,0.049
106.5,12.5,0.062
106.5,13.5,0.066
106.5,14.5,0.0635
106.5,15.5,0.0475
106.5,16.5,0.0445
106.5,17.5,0.033
106.5,18.5,0.028
106.5,19.5,0.017
106.5,20.5,0.0125
106.5,21.5,0.0075
106.5,22.5,0.004
106.5,23.5,0.0025
106.5,24.5,0.0015
106.5,25.5,0.0015
106.5,26.5,0.001
106.5,27.5,0.0015
106.5,28.5,0.001
107.5,3.5,0.001
107.5,4.5,0.002
107.5,5.5,0.0065
107.5,6.5,0.009
107.5,7.5,0.012
107.5,8.5,0.02
107.5,9.5,0.031
107.5,10.5,0.0445
107.5,11.5,0.0615
107.5,12.5,0.0665
