lon,lat,probability
100.5,6.5,0.0015
100.5,7.5,0.0025
100.5,8.5,0.0035
100.5,9.5,0.002
100.5,10.5,0.0065
100.5,11.5,0.011
100.5,12.5,0.0155
100.5,13.5,0.0235
100.5,14.5,0.0365
100.5,15.5,0.0325
100.5,16.5,0.033
100.5,17.5,0.0305
100.5,18.5,0.0355
100.5,19.5,0.022
100.5,20.5,0.0245
100.5,21.5,0.023
100.5,22.5,0.014
100.5,23.5,0.0125
100.5,24.5,0.007
100.5,25.5,0.003
100.5,26.5,0.0015
100.5,27.5,0.001
100.5,28.5,0.0005
100.5,30.5,0.0005
100.5,31.5,0.0005
101.5,5.5,0.0005
101.5,6.5,0.0015
101.5,7.5,0.0015
101.5,8.5,0.0035
101.5,9.5,0.0045
101.5,10.5,0.0085
101.5,11.5,0.011
101.5,12.5,0.0185
101.5,13.5,0.0315
101.5,14.5,0.042
101.5,15.5,0.0465
101.5,16.5,0.047
101.5,17.5,0.0475
101.5,18.5,0.0475
101.5,19.5,0.0385
101.5,20.5,0.0325
101.5,21.5,0.0315
101.5,22.5,0.0225
101.5,23.5,0.0165
101.5,24.5,0.0095
101.5,25.5,0.0045
101.5,26.5,0.004
101.5,27.5,0.0035
101.5,28.5,0.0005
101.5,29.5,0.001
101.5,30.5,0.001
101.5,31.5,0.0005
102.5,5.5,0.0005
102.5,6.5,0.001
102.5,7.5,0.0025
102.5,8.5,0.003
102.5,9.5,0.007
102.5,10.5,0.0075
102.5,11.5,0.012
102.5,12.5,0.021
102.5,13.5,0.035
102.5,14.5,0.0455
102.5,15.5,0.0495
102.5,16.5,0.0485
102.5,17.5,0.05
102.5,18.5,0.0515
102.5,19.5,0.042
102.5,20.5,0.035
102.5,21.5,0.0355
102.5,22.5,0.027
102.5,23.5,0.015
102.5,24.5,0.009
102.5,25.5,0.0055
102.5,26.5,0.0045
102.5,27.5,0.001
102.5,28.5,0.002
102.5,29.5,0.0015
102.5,30.5,0.001
102.5,32.5,0.0005
103.5,5.5,0.0005
103.5,6.5,0.0005
103.5,7.5,0.0015
103.5,8.5,0.003
103.5,9.5,0.006
103.5,10.5,0.007
103.5,11.5,0.015
103.5,12.5,0.021
103.5,13.5,0.0325
103.5,14.5,0.042
103.5,15.5,0.0505
103.5,16.5,0.049
103.5,17.5,0.057
103.5,18.5,0.0595
103.5,19.5,0.0425
103.5,20.5,0.0405
103.5,21.5,0.034
103.5,22.5,0.0305
103.5,23.5,0.0195
103.5,24.5,0.0115
103.5,25.5,0.006
103.5,26.5,0.004
103.5,27.5,0.001
103.5,28.5,0.0025
103.5,30.5,0.001
103.5,31.5,0.0005
103.5,33.5,0.0005
103.5,34.5,0.0005
104.5,6.5,0.0005
104.5,7.5,0.0015
104.5,8.5,0.0015
104.5,9.5,0.0065
104.5,10.5,0.0075
104.5,11.5,0.015
104.5,12.5,0.024
104.5,13.5,0.0305
104.5,14.5,0.044
104.5,15.5,0.0495
104.5,16.5,0.0475
104.5,17.5,0.0625
104.5,18.5,0.06
104.5,19.5,0.0495
104.5,20.5,0.039
104.5,21.5,0.036
104.5,22.5,0.0295
104.5,23.5,0.0225
104.5,24.5,0.013
104.5,25.5,0.007
104.5,26.5,0.0045
104.5,27.5,0.0015
104.5,28.5,0.002
104.5,29.5,0.001
104.5,31.5,0.0005
104.5,32.5,0.0005
104.5,33.5,0.0005
104.5,34.5,0.0005
105.5,6.5,0.0005
105.5,7.5,0.002
105.5,8.5,0.001
105.5,9.5,0.0055
105.5,10.5,0.007
105.5,11.5,0.016
105.5,12.5,0.023
105.5,13.5,0.0305
105.5,14.5,0.047
105.5,15.5,0.0505
105.5,16.5,0.0535
105.5,17.5,0.059
105.5,18.5,0.0635
105.5,19.5,0.047
105.5,20.5,0.05
105.5,21.5,0.039
105.5,22.5,0.0225
105.5,23.5,0.022
105.5,24.5,0.0105
105.5,25.5,0.0075
105.5,26.5,0.0055
105.5,27.5,0.0035
105.5,28.5,0.0025
105.5,29.5,0.0015
105.5,30.5,0.0005
105.5,32.5,0.001
105.5,33.5,0.001
106.5,7.5,0.0025
106.5,8.5,0.001
106.5,9.5,0.004
106.5,10.5,0.0055
106.5,11.5,0.013
106.5,12.5,0.025
106.5,13.5,0.033
106.5,14.5,0.049
106.5,15.5,0.052
106.5,16.5,0.06
106.5,17.5,0.0615
106.5,18.5,0.0575
106.5,19.5,0.0485
106.5,20.5,0.0575
106.5,21.5,0.04
106.5,22.5,0.025
106.5,23.5,0.023
106.5,24.5,0.0155
106.5,25.5,0.0075
106.5,26.5,0.0045
106.5,27.5,0.004
106.5,28.5,0.0025
106.5,29.5,0.0015
106.5,30.5,0.001
106.5,31.5,0.0005
106.5,32.5,0.0005
106.5,33.5,0.0005
106.5,34.5,0.0005
107.5,7.5,0.002
107.5,8.5,0.0005
107.5,9.5,0.0045
107.5,10.5,0.005
107.5,11.5,0.013
107.5,12.5,0.0205
107.5,13.5,0.0325
107.5,14.5,0.0495
107.5,15.5,0.06
107.5,16.5,0.063
107.5,17.5,0.067
107.5,18.5,0.059
107.5,19.5,0.055
107.5,20.5,0.057
107.5,21.5,0.039
107.5,22.5,0.0295
107.5,23.5,0.026
107.5,24.5,0.021
107.5,25.5,0.0125
107.5,26.5,0.007
107.5,27.5,0.0065
107.5,28.5,0.003
107.5,29.5,0.002
107.5,30.5,0.0015
107.5,31.5,0.001
107.5,34.5,0.0005
108.5,7.5,0.0015
108.5,8.5,0.0005
108.5,9.5,0.003
108.5,10.5,0.009
108.5,11.5,0.016
108.5,12.5,0.0215
108.5,13.5,0.031
108.5,14.5,0.05
108.5,15.5,0.064
108.5,16.5,0.066
108.5,17.5,0.0695
108.5,18.5,0.0695
108.5,19.5,0.0625
108.5,20.5,0.0565
108.5,21.5,0.0425
108.5,22.5,0.0315
108.5,23.5,0.0265
108.5,24.5,0.023
108.5,25.5,0.014
108.5,26.5,0.012
108.5,27.5,0.009
108.5,28.5,0.0055
108.5,29.5,0.002
108.5,30.5,0.002
108.5,31.5,0.001
108.5,34.5,0.0005
108.5,35.5,0.0005
109.5,7.5,0.0015
109.5,8.5,0.0015
109.5,9.5,0.0015
109.5,10.5,0.0095
109.5,11.5,0.018
109.5,12.5,0.0225
109.5,13.5,0.031
109.5,14.5,0.047
109.5,15.5,0.062
109.5,16.5,0.0655
109.5,17.5,0.075
109.5,18.5,0.063
109.5,19.5,0.0685
109.5,20.5,0.0615
109.5,21.5,0.045
109.5,22.5,0.0315
109.5,23.5,0.0255
109.5,24.5,0.026
109.5,25.5,0.019
109.5,26.5,0.014
109.5,27.5,0.0105
109.5,28.5,0.007
109.5,29.5,0.0025
109.5,30.5,0.002
109.5,31.5,0.001
109.5,32.5,0.0005
109.5,33.5,0.0005
109.5,34.5,0.0005
109.5,35.5,0.0005
110.5,6.5,0.0005
110.5,7.5,0.0005
110.5,8.5,0.002
110.5,9.5,0.0045
110.5,10.5,0.008
110.5,11.5,0.014
110.5,12.5,0.027
110.5,13.5,0.035
110.5,14.5,0.05
110.5,15.5,0.0645
110.5,16.5,0.0745
110.5,17.5,0.0805
110.5,18.5,0.063
110.5,19.5,0.0715
110.5,20.5,0.0585
110.5,21.5,0.049
110.5,22.5,0.03
110.5,23.5,0.0275
110.5,24.5,0.026
110.5,25.5,0.022
110.5,26.5,0.0115
110.5,27.5,0.0085
110.5,28.5,0.006
110.5,29.5,0.0035
110.5,30.5,0.0035
110.5,31.5,0.0025
110.5,34.5,0.0005
110.5,35.5,0.001
111.5,6.5,0.0005
111.5,8.5,0.0015
111.5,9.5,0.006
111.5,10.5,0.0055
111.5,11.5,0.0095
111.5,12.5,0.024
111.5,13.5,0.038
111.5,14.5,0.0535
111.5,15.5,0.06
111.5,16.5,0.074
111.5,17.5,0.0785
111.5,18.5,0.0735
111.5,19.5,0.081
111.5,20.5,0.0575
111.5,21.5,0.0475
111.5,22.5,0.0335
111.5,23.5,0.027
111.5,24.5,0.029
111.5,25.5,0.0215
111.5,26.5,0.014
111.5,27.5,0.0085
111.5,28.5,0.005
111.5,29.5,0.004
111.5,30.5,0.0045
111.5,31.5,0.0035
111.5,32.5,0.003
111.5,33.5,0.0015
111.5,34.5,0.0015
111.5,35.5,0.0015
111.5,36.5,0.0005
112.5,5.5,0.0005
112.5,6.5,0.0005
112.5,8.5,0.001
112.5,9.5,0.0055
112.5,10.5,0.006
112.5,11.5,0.008
112.5,12.5,0.0225
112.5,13.5,0.04
112.5,14.5,0.049
112.5,15.5,0.0615
112.5,16.5,0.079
112.5,17.5,0.084
112.5,18.5,0.0875
112.5,19.5,0.084
112.5,20.5,0.063
112.5,21.5,0.053
112.5,22.5,0.037
112.5,23.5,0.033
112.5,24.5,0.028
112.5,25.5,0.02
112.5,26.5,0.018
112.5,27.5,0.0145
112.5,28.5,0.01
112.5,29.5,0.0075
112.5,30.5,0.0065
112.5,31.5,0.004
112.5,32.5,0.0035
112.5,33.5,0.002
112.5,34.5,0.0015
112.5,36.5,0.0015
112.5,37.5,0.0005
112.5,38.5,0.0005
113.5,6.5,0.0005
113.5,7.5,0.0005
113.5,8.5,0.001
113.5,9.5,0.007
113.5,10.5,0.0085
113.5,11.5,0.012
113.5,12.5,0.026
113.5,13.5,0.043
113.5,14.5,0.0435
113.5,15.5,0.073
113.5,16.5,0.088
113.5,17.5,0.089
113.5,18.5,0.0895
113.5,19.5,0.0865
113.5,20.5,0.06
113.5,21.5,0.0575
113.5,22.5,0.047
113.5,23.5,0.0395
113.5,24.5,0.0285
113.5,25.5,0.0245
113.5,26.5,0.018
113.5,27.5,0.0155
113.5,28.5,0.0125
113.5,29.5,0.0075
113.5,30.5,0.008
113.5,31.5,0.006
113.5,32.5,0.0055
113.5,33.5,0.002
113.5,34.5,0.0015
113.5,36.5,0.0005
113.5,37.5,0.0005
113.5,38.5,0.0005
113.5,39.5,0.0005
114.5,7.5,0.0005
114.5,8.5,0.0025
114.5,9.5,0.0065
114.5,10.5,0.01
114.5,11.5,0.016
114.5,12.5,0.0235
114.5,13.5,0.0385
114.5,14.5,0.0465
114.5,15.5,0.0775
114.5,16.5,0.089
114.5,17.5,0.0865
114.5,18.5,0.0965
114.5,19.5,0.087
114.5,20.5,0.0705
114.5,21.5,0.069
114.5,22.5,0.051
114.5,23.5,0.038
114.5,24.5,0.0315
114.5,25.5,0.0275
114.5,26.5,0.02
114.5,27.5,0.0195
114.5,28.5,0.015
114.5,29.5,0.009
114.5,30.5,0.008
114.5,31.5,0.006
114.5,32.5,0.005
114.5,33.5,0.004
114.5,34.5,0.0025
114.5,35.5,0.001
114.5,36.5,0.0005
114.5,37.5,0.0005
114.5,39.5,0.0005
115.5,7.5,0.001
115.5,8.5,0.0015
115.5,9.5,0.0055
115.5,10.5,0.01
115.5,11.5,0.0125
115.5,12.5,0.022
115.5,13.5,0.0405
115.5,14.5,0.053
115.5,15.5,0.077
115.5,16.5,0.091
115.5,17.5,0.0965
115.5,18.5,0.103
115.5,19.5,0.088
115.5,20.5,0.08
115.5,21.5,0.07
115.5,22.5,0.0525
115.5,23.5,0.0415
115.5,24.5,0.037
115.5,25.5,0.0235
115.5,26.5,0.0165
115.5,27.5,0.015
115.5,28.5,0.014
115.5,29.5,0.01
115.5,30.5,0.008
115.5,31.5,0.0065
115.5,32.5,0.006
115.5,33.5,0.005
115.5,34.5,0.004
115.5,35.5,0.0035
115.5,36.5,0.001
115.5,37.5,0.0005
115.5,39.5,0.0005
115.5,40.5,0.0005
116.5,7.5,0.0015
116.5,8.5,0.001
116.5,9.5,0.0055
116.5,10.5,0.01
116.5,11.5,0.0125
116.5,12.5,0.022
116.5,13.5,0.0475
116.5,14.5,0.06
116.5,15.5,0.0805
116.5,16.5,0.092
116.5,17.5,0.1045
116.5,18.5,0.1115
116.5,19.5,0.09
116.5,20.5,0.083
116.5,21.5,0.0665
116.5,22.5,0.056
116.5,23.5,0.0455
116.5,24.5,0.0385
116.5,25.5,0.0305
116.5,26.5,0.0235
116.5,27.5,0.0165
116.5,28.5,0.012
116.5,29.5,0.01
116.5,30.5,0.01
116.5,31.5,0.0045
116.5,32.5,0.0045
116.5,33.5,0.004
116.5,34.5,0.0025
116.5,35.5,0.003
116.5,36.5,0.0025
116.5,38.5,0.0005
116.5,40.5,0.0005
117.5,7.5,0.0015
117.5,8.5,0.001
117.5,9.5,0.008
117.5,10.5,0.012
117.5,11.5,0.0145
117.5,12.5,0.0285
117.5,13.5,0.0475
117.5,14.5,0.0655
117.5,15.5,0.084
117.5,16.5,0.107
117.5,17.5,0.108
117.5,18.5,0.108
117.5,19.5,0.0955
117.5,20.5,0.0805
117.5,21.5,0.0625
117.5,22.5,0.0535
117.5,23.5,0.05
117.5,24.5,0.038
117.5,25.5,0.031
117.5,26.5,0.031
117.5,27.5,0.026
117.5,28.5,0.017
117.5,29.5,0.012
117.5,30.5,0.012
117.5,31.5,0.0075
117.5,32.5,0.0045
117.5,33.5,0.006
117.5,34.5,0.0035
117.5,35.5,0.003
117.5,36.5,0.004
117.5,37.5,0.001
117.5,38.5,0.001
117.5,39.5,0.0005
117.5,40.5,0.0005
118.5,7.5,0.001
118.5,8.5,0.002
118.5,9.5,0.0055
118.5,10.5,0.009
118.5,11.5,0.0125
118.5,12.5,0.027
118.5,13.5,0.0495
118.5,14.5,0.075
118.5,15.5,0.0965
118.5,16.5,0.1105
118.5,17.5,0.1205
118.5,18.5,0.108
118.5,19.5,0.0875
118.5,20.5,0.0785
118.5,21.5,0.0585
118.5,22.5,0.0535
118.5,23.5,0.0515
118.5,24.5,0.038
118.5,25.5,0.034
118.5,26.5,0.039
118.5,27.5,0.0285
118.5,28.5,0.025
118.5,29.5,0.018
118.5,30.5,0.015
118.5,31.5,0.0085
118.5,32.5,0.0065
118.5,33.5,0.0055
118.5,34.5,0.0035
118.5,35.5,0.0025
118.5,36.5,0.004
118.5,37.5,0.0015
118.5,38.5,0.0005
118.5,39.5,0.0005
118.5,41.5,0.0005
119.5,6.5,0.0005
119.5,7.5,0.001
119.5,8.5,0.0015
119.5,9.5,0.0045
119.5,10.5,0.0075
119.5,11.5,0.014
119.5,12.5,0.032
119.5,13.5,0.0525
119.5,14.5,0.087
119.5,15.5,0.113
119.5,16.5,0.1135
119.5,17.5,0.1235
119.5,18.5,0.105
119.5,19.5,0.091
119.5,20.5,0.079
119.5,21.5,0.0605
119.5,22.5,0.052
119.5,23.5,0.049
119.5,24.5,0.0415
119.5,25.5,0.0385
119.5,26.5,0.0385
119.5,27.5,0.0295
119.5,28.5,0.029
119.5,29.5,0.02
119.5,30.5,0.021
119.5,31.5,0.015
119.5,32.5,0.0075
119.5,33.5,0.004
119.5,34.5,0.0045
119.5,35.5,0.0035
119.5,36.5,0.0015
119.5,37.5,0.0025
119.5,38.5,0.0015
119.5,39.5,0.001
119.5,41.5,0.0005
120.5,5.5,0.0005
120.5,6.5,0.0005
120.5,7.5,0.0005
120.5,8.5,0.002
120.5,9.5,0.0045
120.5,10.5,0.007
120.5,11.5,0.0175
120.5,12.5,0.036
120.5,13.5,0.062
120.5,14.5,0.099
120.5,15.5,0.115
120.5,16.5,0.114
120.5,17.5,0.126
120.5,18.5,0.1065
120.5,19.5,0.0995
120.5,20.5,0.0805
120.5,21.5,0.068
120.5,22.5,0.052
120.5,23.5,0.045
120.5,24.5,0.053
120.5,25.5,0.0445
120.5,26.5,0.0355
120.5,27.5,0.029
120.5,28.5,0.026
120.5,29.5,0.0195
120.5,30.5,0.019
120.5,31.5,0.018
120.5,32.5,0.01
120.5,33.5,0.0045
120.5,34.5,0.0035
120.5,35.5,0.004
120.5,36.5,0.002
120.5,37.5,0.003
120.5,38.5,0.001
120.5,39.5,0.0005
120.5,40.5,0.001
120.5,41.5,0.0005
121.5,5.5,0.0005
121.5,6.5,0.0005
121.5,7.5,0.0005
121.5,8.5,0.0025
121.5,9.5,0.004
121.5,10.5,0.004
121.5,11.5,0.0185
121.5,12.5,0.0385
121.5,13.5,0.0685
121.5,14.5,0.1055
121.5,15.5,0.12
121.5,16.5,0.1275
121.5,17.5,0.1295
121.5,18.5,0.1045
121.5,19.5,0.101
121.5,20.5,0.0825
121.5,21.5,0.0725
121.5,22.5,0.0465
121.5,23.5,0.0505
121.5,24.5,0.049
121.5,25.5,0.045
121.5,26.5,0.0415
121.5,27.5,0.0315
121.5,28.5,0.03
121.5,29.5,0.031
121.5,30.5,0.022
121.5,31.5,0.0185
121.5,32.5,0.0155
121.5,33.5,0.0075
121.5,34.5,0.0055
121.5,35.5,0.005
121.5,36.5,0.0045
121.5,37.5,0.002
121.5,38.5,0.001
121.5,39.5,0.0005
121.5,40.5,0.001
121.5,41.5,0.0005
122.5,5.5,0.0005
122.5,6.5,0.001
122.5,7.5,0.0005
122.5,8.5,0.002
122.5,9.5,0.003
122.5,10.5,0.0055
