storms_per_year,mean_wind_par,median_storm_max,p90_storm_max,p99_storm_max,max_wind_par,pct_TD,pct_TS,pct_STS,pct_TY,pct_STY,max_wind_overland,overland_pts_ge_106,overland_storms_ge_100_per_year,run,role
16.03,50.83582142286392,60.64366361163472,97.03226212721903,113.61832241718132,125.0,15.658140985651903,19.33873986275733,18.590143480973175,39.051777916406735,7.174048658764816,108.6241456368783,2.0,0.09,run07,control
15.86,51.655347926341946,60.66673930819759,97.69924796749174,111.8980397223477,125.0,13.871374527112232,18.726355611601512,19.672131147540984,39.155107187894075,8.19672131147541,118.41972323391008,6.0,0.09,run07,control
16.27,51.5114233981424,61.70718845092592,98.87327002019751,116.45246665798332,135.99303458082812,13.952059004302397,18.43884449907806,20.221266133988934,38.660110633067,8.481868469575907,112.32306854729694,7.0,0.17,run07,control
16.4,51.57443255967208,62.13953703838139,98.54889010156369,114.06440229021129,127.5315636070684,14.390243902439023,17.865853658536583,19.878048780487806,39.146341463414636,8.414634146341465,113.25378176653524,8.0,0.15,run07,control
15.38,51.64840516434243,63.39517128396165,97.88432545856844,116.77700460125773,137.32037975172435,15.149544863459038,16.71001300390117,18.855656697009103,40.572171651495445,8.452535760728217,119.76808845805098,6.0,0.1,run07,control
16.56,51.18592669734326,62.28467986876038,98.58676083326056,116.03395499762959,124.59281947032515,15.338164251207727,18.65942028985507,17.14975845410628,39.91545893719807,8.695652173913043,117.35871192565976,6.0,0.16,run07,control
16.82,52.4894831211462,64.05574966907614,98.36529067234896,113.50411705910237,122.36372707975228,14.030915576694412,17.59809750297265,17.954815695600477,41.67657550535077,8.442330558858501,108.35254394149052,2.0,0.08,run07,control
16.04,52.3939779451847,60.86802609118016,99.78720584338107,115.93024582297836,125.0,14.276807980049874,18.017456359102244,20.13715710723192,37.65586034912718,9.72568578553616,109.2709016978992,2.0,0.08,run07,control
16.39,51.474618240468104,62.15330224562058,98.6720495445439,115.68370015410196,127.29214967365095,14.52104942037828,17.876754118364858,19.15802318486882,39.780353874313604,8.541793776693106,116.27617570502473,6.0,0.13,run07,control
16.07,50.69103526516701,61.96024680967562,97.31077863388256,116.4130633702065,140.0,14.996888612321097,17.734909769757312,20.161792159303047,39.39016801493466,7.591785936527691,114.10258361109815,5.0,0.09,run07,control
16.26,51.654325284946225,62.05165471075264,97.19549907000132,113.45672222567948,130.1276481489545,15.129151291512915,17.404674046740467,19.74169741697417,39.91389913899139,7.626076260762607,117.47854895122644,5.0,0.09,run07,control
16.02,51.65934963817962,61.62141573639924,98.77796452770356,114.93725074928197,125.75296783596237,14.294631710362045,17.228464419475657,20.973782771535582,38.26466916354557,8.98876404494382,123.02999759707556,3.0,0.11,run07,control
16.66,51.95791650307354,62.23855619836268,98.29029739870057,117.22563016623528,140.0,14.8859543817527,17.94717887154862,18.667466986794718,39.55582232893157,8.823529411764707,112.05243983535212,6.0,0.16,run07,control
15.85,51.499939757210996,62.0837440499345,97.34359425331134,114.73629619108887,126.30597651656667,14.447949526813881,19.873817034700316,17.034700315457414,40.883280757097786,7.507886435331231,115.01971845441189,2.0,0.08,run07,control
15.89,51.36832186378868,62.48191843738438,97.29580640482494,115.54263017768925,131.19782671678237,15.040906230333542,18.69100062932662,17.558212712397733,40.969162995594715,7.614852108244179,115.9241549672595,4.0,0.09,run07,control
16.09,51.10573809487085,62.19549057851263,97.45634350424544,111.90664947648145,126.72202977959692,13.859540087010567,19.018023617153514,19.142324425108765,39.6519577377253,8.203853325046612,116.64820565970078,5.0,0.11,run07,control
16.1,51.72353032925004,61.46463589021711,98.89645662912201,117.27220937307159,130.65382731779408,15.341614906832298,18.819875776397517,18.819875776397517,37.7639751552795,9.130434782608695,125.0,7.0,0.1,run07,control
15.64,51.51474515798649,61.01417855662601,97.83396774185938,115.48746900526012,130.36006464510348,16.36828644501279,17.455242966751918,18.797953964194374,38.9386189258312,8.184143222506394,113.6407884796651,7.0,0.17,run07,control
16.01,50.760739918995355,61.01965287988677,98.04171549992648,114.22003986648618,126.1146628104422,14.428482198625858,18.550905683947533,20.23735165521549,38.35103060587133,8.244846970643348,108.14519497802836,2.0,0.06,run07,control
15.92,51.15684468872677,61.76186233965792,97.49702019637544,113.52534728197895,125.0,16.64572864321608,17.525125628140703,17.77638190954774,39.949748743718594,7.914572864321608,125.0,1.0,0.11,run07,control
16.03,50.890771102054366,60.7827906815068,98.48717337022926,115.1135763193388,125.00743622242476,14.722395508421709,16.905801621958826,21.085464753587026,38.73986275733001,8.484092326887087,122.65317728460272,8.0,0.17,run09,experiment
15.86,51.220191678019006,61.98915034319489,97.3211617607899,116.37587371194115,130.66214095932511,15.447667087011348,16.77175283732661,19.735182849936947,39.78562421185372,8.133669609079446,117.76061404277816,4.0,0.11,run09,experiment
16.27,50.98202932960723,62.199338373737504,98.5853495595998,115.65681257052664,128.0973306452552,14.505224339274738,18.500307314074984,19.237861094038106,38.84449907805777,8.789182544560541,118.38565745644652,6.0,0.14,run09,experiment
16.4,50.061717211105986,62.746621654503855,97.53660266214318,114.13918111333346,132.37342360503197,14.390243902439023,17.4390243902439,19.20731707317073,40.67073170731707,8.048780487804878,114.32591331600992,7.0,0.16,run09,experiment
15.38,50.756603818693065,61.24563501958217,100.38225914733604,115.45433883783416,128.19954894707232,15.474642392717817,18.985695708712612,17.620286085825747,37.32119635890767,10.46814044213264,106.91528355925466,2.0,0.11,run09,experiment
16.56,50.52747829442157,63.92109698570943,97.3419505680207,114.49984809716483,125.0451991405042,14.673913043478262,17.995169082125603,17.391304347826086,41.72705314009662,8.152173913043478,115.19989554778864,8.0,0.12,run09,experiment
16.82,50.550095104074266,61.31589455342381,97.66651973357912,115.546797494718,127.8009878895026,15.101070154577883,19.797859690844234,18.72770511296076,38.347205707491085,8.02615933412604,117.04355644583728,5.0,0.12,run09,experiment
16.04,51.448289641161644,63.08947909959205,99.46485741603168,113.98856189050753,122.5473770953789,13.715710723192021,18.5785536159601,18.204488778054863,39.83790523690773,9.476309226932669,111.87996053641318,5.0,0.13,run09,experiment
16.39,51.113614383514076,61.97267114778607,98.80241552606921,114.46480797209345,121.45476204060976,14.032946918852959,18.669920683343502,18.8529591214155,39.59731543624161,8.724832214765101,118.02248054381607,8.0,0.18,run09,experiment
16.07,50.398437348852134,62.96584085721167,98.4489006664088,112.54485405016774,130.2872937609693,14.125700062227754,18.294959551960176,18.481642812694464,40.57249533291848,8.276291225886744,110.08802047763066,1.0,0.11,run09,experiment
16.26,51.09269862230229,61.61136174726421,98.43430290361013,113.9238013668251,128.69208446566157,14.514145141451415,18.75768757687577,19.61869618696187,38.25338253382534,8.733087330873309,113.4826351562393,10.0,0.15,run09,experiment
16.02,50.695435172316145,62.82754947563902,98.72879744274768,115.23704767672146,133.05386303937573,15.23096129837703,17.290886392009988,18.476903870162296,40.13732833957553,8.863920099875156,118.64947925882775,8.0,0.19,run09,experiment
16.66,51.43142493295508,64.70222758052083,99.28690264816113,115.15759084616637,127.35385766677145,13.445378151260504,15.186074429771908,20.588235294117645,41.53661464585834,9.003601440576231,119.22577944469576,11.0,0.16,run09,experiment
15.85,50.9610433110897,62.511366283920935,98.59392917566139,114.75247935071057,140.0,13.312302839116718,19.43217665615142,18.67507886435331,39.17981072555205,9.022082018927446,119.22258815555163,8.0,0.15,run09,experiment
15.89,51.46283003340092,63.63608195561064,99.3833072022568,115.84653927954741,128.19588288755935,14.159848961611077,17.054751415984896,19.068596601636248,40.08810572687225,9.439899307740717,115.66782547919072,3.0,0.11,run09,experiment
16.09,51.8112929165303,62.97073562696348,98.4955851857992,115.01000912673881,124.37056844891302,14.108141702921067,18.955873213175884,17.588564325668116,40.45991298943443,8.514605344934742,121.35204630847552,8.0,0.16,run09,experiment
16.1,50.542357537259136,62.01166070232878,98.28405221644914,115.07382561904811,129.5341276445257,14.658385093167702,17.888198757763977,19.25465838509317,39.316770186335404,8.75776397515528,117.59172473587448,4.0,0.13,run09,experiment
15.64,50.3102022173313,63.2723538093055,98.42156457455778,116.30510202403532,125.0,13.618925831202047,18.542199488491047,18.286445012787723,40.40920716112532,8.823529411764707,118.02750835581202,6.0,0.15,run09,experiment
16.01,51.60022276611685,65.6096799581884,100.15083328891848,115.0,125.0,13.49156777014366,16.17738913179263,19.42535915053092,40.34978138663335,10.430980637101811,117.81412161678512,11.0,0.21,run09,experiment
15.92,51.06192485056752,63.957284502954806,99.69392793375403,115.5693258612117,132.8906003535301,14.195979899497488,18.341708542713565,17.399497487437184,40.38944723618091,9.547738693467336,120.93070508045987,4.0,0.1,run09,experiment
